DATA,SIGLA_ESTADO,MUNICIPIO,CODIGO_MUNICIPIO_7,OBITOS_NOVOS,OBITOS,CASOS_NOVOS,CASOS,POPULACAO_ESTIMADA,OBITOS_NOVOS_MEDIA_14_DIAS,TAXA_OBITOS_NOVOS_MEDIA_14_DIAS,CASOS_NOVOS_MEDIA_14_DIAS,CASOS_NOVOS_MEDIA_56_DIAS,TAXA_CASOS_NOVOS_MEDIA_14_DIAS,TAXA_CASOS_NOVOS_MEDIA_56_DIAS,TAXA_FATALIDADE,NUMERO_REPRODUCAO_EFETIVO_MEDIA,NUMERO_REPRODUCAO_EFETIVO_VARIANCIA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.025,NUMERO_REPRODUCAO_EFETIVO_MEDIANA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.975
2021-06-09,TOTAL,TOTAL,0,2389,479742,84846,17132164,210147125,1787.2142857142858,0.8504585945271846,60639.857142857145,61537.482142857145,28.855906138548,29.283047361631592,2.7447947519691085,1.0829253493509916,1.1807135549621204e-06,1.0807969614690394,1.0829249860162964,1.0850558020340657
2021-06-10,TOTAL,TOTAL,0,2501,482243,91231,17223395,210147125,1815.7857142857144,0.8640545114693879,62547.78571428572,61895.607142857145,29.763807482156,29.45346368305402,2.836905551054479,1.0827864088099228,1.1668587112531812e-06,1.0806704950203458,1.0827860496775463,1.0849043635191913
2021-06-11,TOTAL,TOTAL,0,2176,484419,86306,17309701,210147125,1798.0,0.8555910531728664,64864.28571428572,61930.107142857145,30.8661304380375,29.469880752761732,2.8865416657588407,1.0786731915230137,1.148476838268053e-06,1.0765740944783742,1.078672836730196,1.080774304825991
2021-06-12,TOTAL,TOTAL,0,1974,486393,73760,17383461,210147125,1800.5,0.8567806959053093,64714.21428571428,62023.05357142857,30.794717884298574,29.514109970064343,2.8626101571727083,1.070664248317826,1.1263910703572475e-06,1.0685856542849734,1.070663897820478,1.0727448341982166
2021-06-13,TOTAL,TOTAL,0,1119,487512,36982,17420443,210147125,1815.2142857142856,0.863782593130544,64395.28571428572,61989.982142857145,30.642953461431237,29.49837269620374,2.873317594703137,1.0591457298789255,1.101359640489273e-06,1.0570903667241685,1.0591453834453926,1.061203061786896
2021-06-14,TOTAL,TOTAL,0,1019,488531,42685,17463128,210147125,1819.071428571429,0.8656180419177416,64830.0,62100.30357142857,30.849815337706858,29.550869930496827,2.876122435381264,1.0447585100259738,1.074842095046955e-06,1.0427268046739848,1.0447581668593169,1.046792165565788
2021-06-15,TOTAL,TOTAL,0,2683,491214,87119,17550247,210147125,1844.142857142857,0.877548459034525,65416.78571428572,62359.07142857143,31.12904148190736,29.67400645075274,2.902307636965358,1.0283097711867748,1.0483197694815107e-06,1.0263038999638134,1.0283094313399412,1.0303175737312764
2021-06-16,TOTAL,TOTAL,0,2700,493914,86519,17636766,210147125,1857.9285714285716,0.8841084889591381,64720.28571428572,62582.94642857143,30.7976070166488,29.780538957443,2.872299661764105,1.0101788520528834,1.0226878221720934e-06,1.0081970593334213,1.0101785143603872,1.012162563850965
2021-06-17,TOTAL,TOTAL,0,2314,496228,76465,17713231,210147125,1886.571428571429,0.8977383956936973,64749.142857142855,63089.44642857143,30.81133889276042,30.021560575035902,2.9403382524513955,0.9909380436620248,9.98517180249269e-07,0.9889798239549822,0.9909377075511064,0.9928981734597108
2021-06-18,TOTAL,TOTAL,0,2475,498703,95432,17808663,210147125,1978.2857142857144,0.9413812890781704,68482.28571428571,63556.5,32.58778140042873,30.24381132980049,3.2025494587834795,0.9707454892583768,9.760503975106506e-07,0.9688093244375012,0.9707451538379596,0.972683560245833
