days_to_fit_within_outbreak,outbreak,alpha,estimation,result_fun,result_nfev,result_nit,result_success,start_time,end_time,duration_seconds,pop_size,period_in_days,days_to_recovery,date_first_case,outbreak_start_date,max_date_to_fit,max_date_to_analyze,list_breakpoints_in_slow_transition,x_initial_infected_population,x_days_between_infections_0,x_case_fatality_probability_0,x_loss_immunity_in_days_0,x_days_between_infections_1,x_breakpoint_1,x_transition_days_between_epidemic_periods_1
35.0,0.0,0.0,15.0,0.25218848113008696,4364.0,115.0,True,2023-12-05 16:25:22,2023-12-05 16:25:49,26.376665,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.03321974871143055,3.1694792342321416,0.003989592319257167,256.7878798025039,5.466829081826033,48.90822106611563,28.003553754191866
35.0,0.0,0.0,16.0,0.2547484982615347,4613.0,126.0,True,2023-12-05 16:25:49,2023-12-05 16:26:16,27.690105,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.038100219261426545,3.1734665207599893,0.003606669159357913,229.24296356707498,5.509709392042645,47.2383870206845,26.306431160478823
35.0,0.0,0.0,17.0,0.25459328269710274,6112.0,159.0,True,2023-12-05 16:26:16,2023-12-05 16:26:56,39.037949,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.018131753192142403,3.1791925244789674,0.0073579137966306414,215.35098893785633,5.37565076907893,48.26306651253301,27.289204252368798
35.0,0.0,0.0,18.0,0.2531863570126832,4916.0,123.0,True,2023-12-05 16:26:56,2023-12-05 16:27:30,34.949898,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.01400867212568229,3.169907385176736,0.009283962735280125,190.53569143961704,5.334197965359405,48.76834685906958,28.306813975901996
35.0,0.0,0.0,19.0,0.2545407507614335,3902.0,105.0,True,2023-12-05 16:27:30,2023-12-05 16:27:55,24.291453,5.0,140.0,8.0,2020-02-16,2020-03-01,2020-04-05,2020-07-05,[],0.020335765931908566,3.179641423200465,0.00712364526151226,164.10254799710324,5.872188982856889,48.70347501999974,26.629258579663297
42.0,0.0,0.0,0.0,0.2095672041113577,3921.0,98.0,True,2023-12-05 16:27:55,2023-12-05 16:28:19,24.302876,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.02126344275191068,3.1700954839853654,0.008242645580111806,343.72681921767395,5.999573405709584,41.446309440016826,19.143980166847697
42.0,0.0,0.0,1.0,0.20822135104043096,4026.0,93.0,True,2023-12-05 16:28:19,2023-12-05 16:28:48,28.668188,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.02992227365365783,3.1706248249264997,0.005752697828252689,282.34766910131617,5.97250125796855,41.558332805471586,19.10659655195869
42.0,0.0,0.0,2.0,0.2096749736645782,3059.0,72.0,True,2023-12-05 16:28:48,2023-12-05 16:29:12,24.003606,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.014665800948268541,3.1704122917282587,0.011948387513051073,94.01238775919691,5.939976625697726,41.0192627815789,18.159200207189496
42.0,0.0,0.0,3.0,0.20827698266131084,4309.0,110.0,True,2023-12-05 16:29:12,2023-12-05 16:29:45,33.240339,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.023274164820446492,3.1694755505477064,0.00765924651129919,247.56137042255253,6.004009568442095,41.27309556788517,18.676839323331443
42.0,0.0,0.0,4.0,0.2082395151900378,3838.0,97.0,True,2023-12-05 16:29:45,2023-12-05 16:30:10,25.133219,5.0,147.0,8.0,2020-02-16,2020-03-01,2020-04-12,2020-07-12,[],0.018656658351523706,3.1739778473789246,0.009181183246466398,95.43123497734076,6.001466762263546,41.794336544261505,18.829851693763608
