days_to_fit_within_outbreak,outbreak,date,train_period,estimated_new_deaths_mean,estimated_new_deaths_lower_bound,estimated_new_deaths_upper_bound,actual_death_rate,actual_inside_confidence_interval
21.0,8.0,2020-06-18,False,2.8894083058387245,2.0852085827173306,3.8485289282935295,0.5006902927086244,False
21.0,8.0,2020-06-19,False,2.8486755135878004,1.995728242755243,3.845713351137609,0.5005495900831619,False
21.0,8.0,2020-06-20,False,2.811874038292895,1.8929696026963183,3.8879427401347684,0.4952028903155835,False
28.0,8.0,2020-02-16,True,,,,0.0,False
28.0,8.0,2020-02-17,True,1.0804784598632351e-05,1.056837036123703e-05,1.1111036699615371e-05,0.0,False
28.0,8.0,2020-02-18,True,1.305208243681272e-05,1.2736175945293252e-05,1.3404526947947043e-05,0.0,False
28.0,8.0,2020-02-19,True,1.5773810194432112e-05,1.53832352119906e-05,1.616918101366978e-05,0.0,False
28.0,8.0,2020-02-20,True,1.9067144659588452e-05,1.859308866126882e-05,1.9579729479691886e-05,0.0,False
28.0,8.0,2020-02-21,True,2.304214803612848e-05,2.25235191636852e-05,2.3692649768766467e-05,0.0,False
28.0,8.0,2020-02-22,True,2.78451632719206e-05,2.7210808862069777e-05,2.858470031308071e-05,0.0,False
28.0,8.0,2020-02-23,True,3.3647901502039026e-05,3.285054122555165e-05,3.451532168418502e-05,0.0,False
28.0,8.0,2020-02-24,True,4.065806209054086e-05,3.975584217435156e-05,4.1705077221993436e-05,0.0,False
28.0,8.0,2020-02-25,True,4.9136262424800774e-05,4.799318375665939e-05,5.042261562235066e-05,0.0,False
28.0,8.0,2020-02-26,True,5.939063322680769e-05,5.807432990478944e-05,6.0981011380912235e-05,0.0,False
28.0,8.0,2020-02-27,True,7.177260013422696e-05,7.003709082636662e-05,7.368620368289852e-05,0.0,False
28.0,8.0,2020-02-28,True,8.674207410276172e-05,8.465704019923743e-05,8.901986582245607e-05,0.0,False
28.0,8.0,2020-02-29,True,0.0001048212449794429,0.00010250238736037586,0.00010760721305263362,0.0,False
28.0,8.0,2020-03-01,True,0.000126682924552145,0.00012359381738158963,0.00012977436713025773,0.0,False
28.0,8.0,2020-03-02,True,0.000153130858614795,0.00014957268241119997,0.000157188994272276,0.0,False
28.0,8.0,2020-03-03,True,0.0001851291656897,0.00018079727692349912,0.0001899175329842797,0.0,False
28.0,8.0,2020-03-04,True,0.00022365527207030998,0.00021874192801556088,0.00022911064716532812,0.0,False
28.0,8.0,2020-03-05,True,0.00027030314224979994,0.00026373793955642783,0.00027712020737940207,0.0,False
28.0,8.0,2020-03-06,True,0.000326506418002745,0.00031934574307756905,0.00033482520712232485,0.0,False
28.0,8.0,2020-03-07,True,0.00039438585850867,0.00038531984815898647,0.0004036573057763811,0.0,False
28.0,8.0,2020-03-08,True,0.00047624303863295496,0.0004664112698835651,0.0004897279688592809,0.0,False
28.0,8.0,2020-03-09,True,0.0005747328142741501,0.0005620649847158812,0.0005890608025314445,0.0,False
28.0,8.0,2020-03-10,True,0.000693619091413185,0.0006791313531520596,0.0007125593913563572,0.0,False
28.0,8.0,2020-03-11,True,0.00083642457018082,0.0008180488862942968,0.0008558800909177859,0.0,False
28.0,8.0,2020-03-12,True,0.00100883927960521,0.0009896590062356868,0.001031740514741133,0.0009849183782381,False
28.0,8.0,2020-03-13,True,0.0012161709613000302,0.00119266617581861,0.0012446528333267416,0.0009849183782381,False
28.0,8.0,2020-03-14,True,0.0014658375188945747,0.0014390775061955622,0.0014970453501837924,0.0011490714412778,False
28.0,8.0,2020-03-15,True,0.0017666861216256349,0.0017373047519493381,0.0018026785333427196,0.0012311479727976,False
28.0,8.0,2020-03-16,True,0.0021281217750706246,0.002097263840316552,0.002167840001320707,0.001575869405181,False
28.0,8.0,2020-03-17,True,0.002564305806338625,0.0025270739809588067,0.00260630913355759,0.0014773775673571,False
28.0,8.0,2020-03-18,True,0.00308796687061063,0.0030501446542715374,0.0031372992933058727,0.0018291341310136,False
28.0,8.0,2020-03-19,True,0.00371942520389095,0.0036769328382262223,0.0037680613018781263,0.0026029985710579,False
28.0,8.0,2020-03-20,True,0.004478259616435569,0.004431125056550457,0.004531723512765844,0.003587916949296,False
28.0,8.0,2020-03-21,True,0.005390864344531145,0.005343874103188079,0.005443462775244416,0.004783889265728,False
28.0,8.0,2020-03-22,True,0.006489958884864156,0.006439972357797157,0.006546495266667879,0.0059095102694287,False
28.0,8.0,2020-03-23,True,0.0078085485179948955,0.0077549969049590375,0.007868035875114322,0.0083014549022927,False
28.0,8.0,2020-03-24,True,0.00939842432859649,0.009336717620468714,0.009465284731161162,0.0116079666006636,False
28.0,8.0,2020-03-25,True,0.011305312126720927,0.011220651792360706,0.0113862528026369,0.0141406138589902,False
28.0,8.0,2020-03-26,True,0.01360088159121971,0.013492603883520365,0.013712927627082103,0.016954666368242,False
28.0,8.0,2020-03-27,True,0.01634835759266557,0.016205597106128483,0.016491902692047505,0.0196280162520312,False
28.0,8.0,2020-03-28,True,0.019570731728859685,0.019387084500221426,0.01973854224480144,0.0233566358267898,False
28.0,8.0,2020-03-29,True,0.023176502183016166,0.023043460152002024,0.02329627489817871,0.0268038501506232,False
28.0,8.0,2020-03-30,False,0.027035662605909765,0.02677137932967871,0.027326582850191718,0.0308842262890383,False
28.0,8.0,2020-03-31,False,0.031194430322068322,0.030254492828817453,0.03202001983498612,0.0345424945510657,False
28.0,8.0,2020-04-01,False,0.03575451727404827,0.03396466809548343,0.037399126733584025,0.0394670864422563,False
28.0,8.0,2020-04-02,False,0.040939710332373466,0.03805684769693158,0.043915145968590044,0.0448137862098347,False
28.0,8.0,2020-04-03,False,0.04699879285150562,0.04265506922997904,0.05161230136122486,0.0524820792975458,False
